대표음,급수,한자,대표훈음,부수,획수,총획,음표
가,70,歌,노래 가,欠,10,14,
구,70,口,입 구(:),口,0,3,(:)
기,70,旗,기 기,方,10,14,
동,70,同,한가지 동,口,3,6,
동,70,洞,골 동: | 밝을 통:,水,6,9,:
동,70,冬,겨울 동(:),冫,3,5,(:)
등,70,登,오를 등,癶,7,12,
래,70,來,올 래(:),人,6,8,(:)
로,70,老,늙을 로:,老,0,6,:
리,70,里,마을 리:,里,0,7,:
림,70,林,수풀 림,木,4,8,
면,70,面,낯 면:,面,0,9,:
명,70,命,목숨 명:,口,5,8,:
문,70,文,글월 문,文,0,4,
문,70,問,물을 문:,口,8,11,:
백,70,百,일백 백,白,1,6,
부,70,夫,지아비 부,大,1,4,
산,70,算,셈 산:,竹,8,14,:
색,70,色,빛 색,色,0,6,
석,70,夕,저녁 석,夕,0,3,
소,70,少,적을 소:,小,1,4,:
소,70,所,바 소:,戶,4,8,:
수,70,數,셈 수:,攴,11,15,(:)
식,70,植,심을 식,木,8,12,
심,70,心,마음 심,心,0,4,
어,70,語,말씀 어:,言,7,14,:
연,70,然,그럴 연,火,8,12,
유,70,有,있을 유:,月,2,6,:
육,70,育,기를 육,肉,4,8,
읍,70,邑,고을 읍,邑,0,7,
입,70,入,들 입,入,0,2,
자,70,字,글자 자,子,3,6,
조,70,祖,할아비 조,示,5,10,
주,70,住,살 주:,人,5,7,:
주,70,主,임금/주인 주,丶,4,5,
중,70,重,무거울 중:,里,2,9,:
지,70,紙,종이 지,糸,4,10,
지,70,地,따 지,土,3,6,
천,70,千,일천 천,十,1,3,
천,70,天,하늘 천,大,1,4,
천,70,川,내 천,巛,0,3,
초,70,草,풀 초,艸,6,10,
촌,70,村,마을 촌:,木,3,7,:
추,70,秋,가을 추,禾,4,9,
춘,70,春,봄 춘,日,5,9,
출,70,出,날[生] 출,凵,3,5,
편,70,便,편할 편(:) | 똥오줌 변,人,7,9,(:)
하,70,夏,여름 하:,夊,7,10,:
화,70,花,꽃 화,艸,4,8,
휴,70,休,쉴 휴,人,4,6,