급수,한자,훈,음,유사어,반대어
8급,一,한,일,,
8급,二,두,이,,
8급,三,석,삼,,
8급,四,넉,사,,
8급,五,다섯,오,,
8급,六,여섯,륙,,
8급,七,일곱,칠,,
8급,八,여덟,팔,,
8급,九,아홉,구,,
8급,十,열,십,,
8급,萬,일만,만,,
8급,大,큰,대,太(클 태),小(작을 소)
8급,小,작을,소,少(적을 소),大(큰 대) / 太(클 태) / 廣(넓을 광)
8급,長,긴,장,,短(짧을 단)
8급,日,날,일,陽(볕 양),夜(밤 야) / 月(달 월)
8급,月,달,월,,日(날 일)
8급,年,해,년,,
8급,火,불,화,,水(물 수)
8급,水,물,수,川(내 천) / 江(강 강) / 河(물 하),火(불 화)
8급,木,나무,목,林(수풀 림) / 樹(나무 수) / 草(풀 초),
8급,金,쇠,금(김),銀(은 은),
8급,土,흙,토,地(땅 지) / 壤(흙 양) / 田(밭 전),
8급,山,뫼,산,岳(큰산 악),川(내 천) / 海(바다 해) / 野(들 야)
8급,靑,푸를,청,綠(푸를 록) / 碧(푸를 벽),白(흰 백)
8급,白,흰,백,素(본디 소),靑(푸를 청)
8급,父,아비,부,,子(아들 자) / 母(어미 모)
8급,母,어미,모,,子(아들 자) / 父(아비 부)
8급,兄,형,형,,弟(아우 제)
8급,弟,아우,제,,兄(형 형)
8급,人,사람,인,民(백성 민) / 者(사람 자),
8급,女,계집,녀,,男(사내 남)
8급,東,동녘,동,,西(서녘 서)
8급,西,서녘,서,,東(동녘 동)
8급,南,남녘,남,,北(북녘 북(배)
8급,北,북녘,북,,南(남녘 남)
8급,外,바깥,외,,內(안 내)
8급,中,가운데,중,間(사이 간),
8급,室,집,실,堂(집 당) / 家(집 가),
8급,門,문,문,戶(지게 호),
8급,學,배울,학,習(익힐 습) / 課(공부할 과) / 讀(읽을 독(두),敎(가르칠 교)
8급,校,학교,교,,
8급,敎,가르칠,교,師(스승 사) / 育(기를 육) / 訓(가르칠 훈),學(배울 학)
8급,生,날,생,存(있을 존) / 活(살 활),死(죽을 사)
8급,國,나라,국,邦(나라 방),
8급,王,임금,왕,主(임금 / 主(임금/주인 주) / 君(임금 군) / 주인 주),民(백성 민) / 臣(신하 신)
8급,民,백성,민,人(사람 인) / 族(겨레 족) / 者(사람 자),君(임금 군) / 王(임금 왕)
8급,軍,군대,군,兵(병사 병) / 戰(싸움 전),
8급,韓,한국/나라,한,,
8급,先,먼저,선,,後(뒤 후)
8급,寸,마디,촌,,
7급,百,일백,백,億(억 억) / 千(일천 천) / 萬(일만 만),
7급,千,일천,천,億(억 억) / 百(일백 백) / 萬(일만 만),
7급,數,셈,수,算(셈 산) / 計(셀 계),
7급,算,셈,산,數(셈 수) / 計(셀 계),
7급,夕,저녁,석,夜(밤 야),晝(낮 주) / 朝(아침 조)
7급,川,내,천,水(물 수) / 江(강 강) / 海(바다 해),山(뫼 산)
7급,地,땅,지,土(흙 토) / 田(밭 전) / 野(들 야),天(하늘 천)
7급,天,하늘,천,,地(땅 지)
7급,春,봄,춘,,秋(가을 추)
7급,夏,여름,하,,冬(겨울 동)
7급,秋,가을,추,,春(봄 춘)
7급,冬,겨울,동,,夏(여름 하)
7급,草,풀,초,木(나무 목) / 林(수풀 림) / 樹(나무 수),
7급,花,꽃,화,,
7급,林,수풀,림,木(나무 목) / 樹(나무 수) / 草(풀 초),
7급,色,빛,색,光(빛 광),
7급,夫,지아비,부,,妻(아내 처)
7급,祖,할아비,조,,孫(손자 손) / 童(아이 동)
7급,老,늙을,로,,少(적을 소) / 童(아이 동)
7급,主,임금/주인,주,君(임금 군) / 王(임금 왕),客(손 객)
7급,面,낯,면,,
7급,口,입,구,目(눈 목) / 耳(귀 이),
7급,命,목숨,명,,
7급,所,바,소,位(자리 위) / 場(마당 장) / 席(자리 석) / 處(곳 처),
7급,住,살,주,在(있을 재) / 存(있을 존) / 宿(잘 숙),
7급,村,마을,촌,洞(골 동(통) / 邑(고을 읍) / 里(마을 리),
7급,里,마을,리,村(마을 촌) / 洞(골 동(통) / 邑(고을 읍),
7급,邑,고을,읍,市(저자 시) / 村(마을 촌) / 郡(고을 군) / 里(마을 리),
7급,洞,골,동(통),村(마을 촌) / 里(마을 리),
7급,育,기를,육,敎(가르칠 교) / 訓(가르칠 훈),
7급,文,글월,문,字(글자 자) / 書(글 서) / 章(글 장),
7급,字,글자,자,文(글월 문) / 書(글 서),
7급,紙,종이,지,筆(붓 필),
7급,語,말씀,어,聞(들을 문) / 言(말씀 언) / 話(말씀 화),
7급,問,물을,문,,答(대답 답)
7급,來,올,래,,去(갈 거)
7급,出,날,출,發(필 발),入(들 입)
7급,入,들,입,,出(날 출)
7급,登,오를,등,,降(내릴 강)
7급,有,있을,유,在(있을 재) / 存(있을 존),無(없을 무) / 空(빌 공)
7급,重,무거울,중,,輕(가벼울 경)
7급,心,마음,심,情(뜻 정) / 意(뜻 의),
7급,休,쉴,휴,,
7급,便,편할,편(변),安(편안 안) / 平(평평할 평),
7급,同,한가지,동,共(한가지 공) / 合(합할 합),別(다를 / 別(다를/나눌 별) / 나눌 별)
7급,少,적을,소,小(작을 소),多(많을 다) / 老(늙을 로)
7급,旗,기,기,,
7급,植,심을,식,,
7급,歌,노래,가,,
7급,然,그럴,연,,
7급Ⅱ,方,모,방,,
7급Ⅱ,直,곧을,직,正(바를 정),反(돌이킬 / 反(돌이킬/돌아올 반) / 돌아올 반)
7급Ⅱ,時,때,시,,
7급Ⅱ,江,강,강,川(내 천) / 水(물 수) / 洋(큰바다 양) / 海(바다 해),
7급Ⅱ,氣,기운,기,風(바람 풍),
7급Ⅱ,家,집,가,宅(집 택) / 室(집 실) / 堂(집 당),
7급Ⅱ,孝,효,효,,
7급Ⅱ,男,사내,남,,女(계집 녀)
7급Ⅱ,子,아들,자,童(아이 동),母(어미 모) / 父(아비 부)
7급Ⅱ,名,이름,명,姓(성 성) / 號(이름 호),
7급Ⅱ,手,손,수,,足(발 족)
7급Ⅱ,足,발,족,,手(손 수)
7급Ⅱ,力,힘,력,勇(날랠 용) / 強(강할 강),
7급Ⅱ,場,마당,장,所(바 소) / 處(곳 처),
7급Ⅱ,上,윗,상,,下(아래 하)
7급Ⅱ,下,아래,하,,上(윗 상) / 登(오를 등)
7급Ⅱ,前,앞,전,,後(뒤 후)
7급Ⅱ,後,뒤,후,,先(먼저 선) / 前(앞 전)
7급Ⅱ,左,왼,좌,,右(오를 / 右(오를/오른 우) / 오른 우)
7급Ⅱ,右,오를/오른,우,,左(왼 좌)
7급Ⅱ,內,안,내,,外(바깥 외) / 表(겉 표)
7급Ⅱ,間,사이,간,中(가운데 중),
7급Ⅱ,道,길,도,路(길 로) / 途(길 도),
7급Ⅱ,記,기록할,기,傳(전할 전) / 史(역사 사) / 書(글 서) / 錄(기록할 록),
7급Ⅱ,話,말씀,화,言(말씀 언) / 語(말씀 어),
7급Ⅱ,答,대답,답,,問(물을 문)
7급Ⅱ,食,밥/먹을,식,米(쌀 미) / 飮(마실 음) / 飯(밥 반),
7급Ⅱ,工,장인,공,勞(일할 로) / 業(업 업),
7급Ⅱ,物,물건,물,,
7급Ⅱ,車,수레,거(차),,
7급Ⅱ,立,설,립,在(있을 재),坐(앉을 좌)
7급Ⅱ,動,움직일,동,運(옮길 운),
7급Ⅱ,世,인간,세,,
7급Ⅱ,平,평평할,평,便(편할 편(변) / 和(화할 화) / 安(편안 안),戰(싸움 전)
7급Ⅱ,正,바를,정,直(곧을 직),反(돌이킬 / 反(돌이킬/돌아올 반) / 돌아올 반)
7급Ⅱ,姓,성,성,名(이름 명),
7급Ⅱ,市,저자,시,京(서울 경) / 邑(고을 읍),
7급Ⅱ,農,농사,농,,
7급Ⅱ,漢,한수/한나라,한,,
7급Ⅱ,全,온전,전,,半(반 반)
7급Ⅱ,不,아닐,불,,
7급Ⅱ,事,일,사,勞(일할 로) / 業(업 업),
7급Ⅱ,午,낮,오,晝(낮 주),夜(밤 야)
7급Ⅱ,安,편안,안,便(편할 편(변) / 和(화할 화) / 平(평평할 평) / 幸(다행 행),苦(쓸 고)
7급Ⅱ,每,매양,매,,
7급Ⅱ,活,살,활,存(있을 존) / 生(날 생),死(죽을 사)
7급Ⅱ,海,바다,해,川(내 천) / 水(물 수) / 江(강 강) / 洋(큰바다 양),山(뫼 산)
7급Ⅱ,空,빌,공,無(없을 무),有(있을 유)
7급Ⅱ,自,스스로,자,,
7급Ⅱ,電,번개,전,光(빛 광),
6급,番,차례,번,第(차례 제) / 等(무리 등) / 級(등급 급),
6급,朝,아침,조,,夕(저녁 석) / 夜(밤 야)
6급,晝,낮,주,午(낮 오),夕(저녁 석) / 夜(밤 야)
6급,夜,밤,야,夕(저녁 석),午(낮 오) / 日(날 일) / 晝(낮 주) / 朝(아침 조)
6급,野,들,야,原(들 원) / 園(동산 원) / 地(땅 지) / 田(밭 전) / 郊(들 교),山(뫼 산)
6급,樹,나무,수,木(나무 목) / 林(수풀 림) / 草(풀 초),
6급,根,뿌리,근,基(터 기) / 本(근본 본),
6급,黃,누를,황,,
6급,孫,손자,손,,祖(할아비 조)
6급,頭,머리,두,首(머리 수),
6급,目,눈,목,口(입 구) / 耳(귀 이) / 鼻(코 비),
6급,病,병,병,,
6급,向,향할,향,對(대할 대),
6급,席,자리,석,位(자리 위) / 所(바 소),
6급,郡,고을,군,邑(고을 읍),
6급,京,서울,경,市(저자 시),
6급,路,길,로,道(길 도),
6급,級,등급,급,番(차례 번) / 等(무리 등),
6급,言,말씀,언,聞(들을 문) / 話(말씀 화) / 語(말씀 어),
6급,米,쌀,미,食(밥 / 食(밥/먹을 식) / 飯(밥 반) / 먹을 식),
6급,衣,옷,의,服(옷 복),
6급,服,옷,복,衣(옷 의),
6급,行,다닐,행(항),步(걸음 보) / 走(달릴 주) / 通(통할 통) / 道(길 도),
6급,遠,멀,원,,近(가까울 근)
6급,近,가까울,근,,遠(멀 원)
6급,使,하여금/부릴,사,役(부릴 역),
6급,開,열,개,,閉(닫을 폐)
6급,死,죽을,사,,存(있을 존) / 活(살 활) / 生(날 생)
6급,在,있을,재,住(살 주) / 存(있을 존) / 有(있을 유) / 着(붙을 착) / 立(설 립),無(없을 무)
6급,古,예,고,,今(이제 금) / 新(새 신)
6급,美,아름다울,미,,
6급,苦,쓸,고,,安(편안 안) / 樂(즐길 락) / 甘(달 감)
6급,溫,따뜻할,온,,寒(찰 한)
6급,感,느낄,감,情(뜻 정) / 意(뜻 의),
6급,愛,사랑,애,親(친할 친),
6급,親,친할,친,交(사귈 교) / 友(벗 우) / 愛(사랑 애),
6급,禮,예도,례,義(옳을 의),
6급,銀,은,은,金(쇠 금(김),
6급,章,글,장,文(글월 문) / 書(글 서),
6급,號,이름,호,名(이름 명),
6급,訓,가르칠,훈,師(스승 사) / 敎(가르칠 교) / 育(기를 육),
6급,習,익힐,습,學(배울 학) / 課(공부할 과) / 讀(읽을 독(두),
6급,合,합할,합,交(사귈 교) / 共(한가지 공) / 同(한가지 동) / 會(모일 회) / 集(모을 집),分(나눌 분) / 別(다를 / 別(다를/나눌 별) / 나눌 별)
6급,別,다를/나눌,별,分(나눌 분) / 區(구분할/지경 구) / 班(나눌 반) / 部(떼 부),合(합할 합) / 同(한가지 동) / 集(모을 집)
6급,交,사귈,교,合(합할 합) / 親(친할 친),
6급,例,법식,례,度(법도 도(탁) / 式(법 식) / 法(법 법),
6급,勝,이길,승,功(공 공) / 成(이룰 성),敗(질 패)
6급,區,구분할/지경,구,分(나눌 분) / 別(다를 / 別(다를/나눌 별) / 나눌 별),
6급,園,동산,원,庭(뜰 정) / 野(들 야),
6급,多,많을,다,,少(적을 소)
6급,太,클,태,大(큰 대),小(작을 소)
6급,失,잃을,실,,功(공 공) / 勝(이길 승)
6급,定,정할,정,,
6급,度,법도,도(탁),例(법식 례) / 式(법 식) / 法(법 법),
6급,式,법,식,例(법식 례) / 度(법도 도(탁) / 法(법 법),
6급,強,강할,강,力(힘 력) / 勇(날랠 용) / 强(강할 강),弱(약할 약)
6급,待,기다릴,대,,
6급,族,겨레,족,民(백성 민),
6급,本,근본,본,基(터 기) / 根(뿌리 근),
6급,朴,성(姓),박,,
6급,李,오얏/성(姓),리,,
6급,永,길,영,,
6급,油,기름,유,,
6급,洋,큰바다,양,水(물 수) / 江(강 강) / 海(바다 해),
6급,特,특별할,특,,
6급,由,말미암을,유,,
6급,畫,그림,화(획),圖(그림 도) / 畵(그림 화),
6급,石,돌,석,,
6급,綠,푸를,록,靑(푸를 청),
6급,者,사람,자,人(사람 인) / 民(백성 민),
6급,英,꽃부리,영,,
6급,通,통할,통,行(다닐 행(항),
6급,速,빠를,속,急(급할 급),
6급,醫,의원,의,藥(약 약),
6급,陽,볕,양,光(빛 광) / 日(날 일),
6급Ⅱ,計,셀,계,數(셈 수) / 算(셈 산),
6급Ⅱ,第,차례,제,番(차례 번) / 等(무리 등),
6급Ⅱ,半,반,반,,全(온전 전)
6급Ⅱ,短,짧을,단,,長(긴 장)
6급Ⅱ,高,높을,고,,低(낮을 저)
6급Ⅱ,角,뿔,각,,
6급Ⅱ,今,이제,금,,古(예 고) / 昨(어제 작)
6급Ⅱ,昨,어제,작,,今(이제 금)
6급Ⅱ,雪,눈,설,雨(비 우) / 雲(구름 운),
6급Ⅱ,風,바람,풍,氣(기운 기),
6급Ⅱ,果,실과,과,,
6급Ⅱ,童,아이,동,子(아들 자),祖(할아비 조) / 老(늙을 로)
6급Ⅱ,身,몸,신,體(몸 체),
6급Ⅱ,體,몸,체,身(몸 신),
6급Ⅱ,藥,약,약,醫(의원 의),
6급Ⅱ,堂,집,당,室(집 실) / 家(집 가),
6급Ⅱ,窓,창,창,,
6급Ⅱ,庭,뜰,정,園(동산 원),
6급Ⅱ,界,지경,계,,
6급Ⅱ,業,업,업,事(일 사) / 勞(일할 로) / 商(장사 상) / 工(장인 공),
6급Ⅱ,班,나눌,반,分(나눌 분) / 別(다를 / 別(다를/나눌 별) / 나눌 별),
6급Ⅱ,書,글,서,典(법/책 전) / 字(글자 자) / 文(글월 문) / 章(글 장) / 記(기록할 기) / 錄(기록할 록),
6급Ⅱ,讀,읽을,독(두),學(배울 학) / 習(익힐 습),
6급Ⅱ,圖,그림,도,畫(그림 화(획) / 畵(그림 화),
6급Ⅱ,表,겉,표,,內(안 내)
6급Ⅱ,聞,들을,문,言(말씀 언) / 語(말씀 어),
6급Ⅱ,意,뜻,의,心(마음 심) / 情(뜻 정) / 感(느낄 감),
6급Ⅱ,飮,마실,음,茶(차 다) / 食(밥 / 食(밥/먹을 식) / 먹을 식),
6급Ⅱ,運,옮길,운,動(움직일 동),
6급Ⅱ,發,필,발,出(날 출),終(마칠 종)
6급Ⅱ,作,지을,작,造(지을 조),
6급Ⅱ,用,쓸,용,,
6급Ⅱ,放,놓을,방,,取(가질 취) / 着(붙을 착)
6급Ⅱ,始,비로소,시,,終(마칠 종)
6급Ⅱ,新,새,신,,古(예 고)
6급Ⅱ,弱,약할,약,,強(강할 강) / 强(강할 강)
6급Ⅱ,樂,즐길,락(악/요),喜(기쁠 희) / 幸(다행 행),悲(슬플 비) / 苦(쓸 고)
6급Ⅱ,幸,다행,행,福(복 복),
6급Ⅱ,信,믿을,신,義(옳을 의),
6급Ⅱ,戰,싸움,전,爭(다툴 쟁) / 鬪(싸울 투),和(화할 화) / 平(평평할 평)
6급Ⅱ,社,모일,사,會(모일 회),
6급Ⅱ,會,모일,회,合(합할 합) / 社(모일 사) / 集(모을 집),
6급Ⅱ,公,공평할,공,共(한가지 공),
6급Ⅱ,共,한가지,공,公(공평할 공) / 合(합할 합) / 同(한가지 동),
6급Ⅱ,利,이할,리,,
6급Ⅱ,注,부을,주,,
6급Ⅱ,集,모을,집,合(합할 합) / 會(모일 회),分(나눌 분) / 別(다를 / 別(다를/나눌 별) / 나눌 별)
6급Ⅱ,代,대신할,대,,
6급Ⅱ,題,제목,제,,
6급Ⅱ,音,소리,음,,
6급Ⅱ,理,다스릴,리,政(정사 정) / 治(다스릴 치),
6급Ⅱ,術,재주,술,才(재주 재),
6급Ⅱ,各,각각,각,,
6급Ⅱ,光,빛,광,明(밝을 명) / 色(빛 색) / 陽(볕 양) / 電(번개 전),
6급Ⅱ,分,나눌,분,別(다를 / 別(다를/나눌 별) / 區(구분할/지경 구) / 班(나눌 반) / 部(떼 부) / 나눌 별),合(합할 합) / 集(모을 집)
6급Ⅱ,功,공,공,勝(이길 승) / 成(이룰 성),失(잃을 실)
6급Ⅱ,勇,날랠,용,力(힘 력) / 強(강할 강) / 强(강할 강),
6급Ⅱ,反,돌이킬/돌아올,반,,對(대할 대) / 正(바를 정) / 直(곧을 직)
6급Ⅱ,和,화할,화,安(편안 안) / 平(평평할 평),戰(싸움 전)
6급Ⅱ,對,대할,대,向(향할 향),反(돌이킬 / 反(돌이킬/돌아올 반) / 돌아올 반)
6급Ⅱ,形,모양,형,,
6급Ⅱ,急,급할,급,速(빠를 속),
6급Ⅱ,成,이룰,성,功(공 공) / 勝(이길 승),
6급Ⅱ,才,재주,재,術(재주 술),
6급Ⅱ,明,밝을,명,光(빛 광),
6급Ⅱ,消,사라질,소,,
6급Ⅱ,淸,맑을,청,靑(푸를 청),濁(흐릴 탁)
6급Ⅱ,現,나타날,현,,
6급Ⅱ,球,공,구,,
6급Ⅱ,省,덜,성(생),,
6급Ⅱ,神,귀신,신,,
6급Ⅱ,科,과목,과,,
6급Ⅱ,等,무리,등,番(차례 번) / 第(차례 제) / 級(등급 급),
6급Ⅱ,線,줄,선,,
6급Ⅱ,部,떼,부,分(나눌 분) / 別(다를 / 別(다를/나눌 별) / 나눌 별),
NON,億,억,억,千(일천 천) / 百(일백 백) / 萬(일만 만),
NON,低,낮을,저,,高(높을 고)
NON,廣,넓을,광,,小(작을 소)
NON,雨,비,우,雪(눈 설) / 雲(구름 운),
NON,雲,구름,운,雨(비 우) / 雪(눈 설),
NON,妻,아내,처,,夫(지아비 부)
NON,客,손,객,,主(임금 / 主(임금/주인 주) / 주인 주)
NON,友,벗,우,親(친할 친),
NON,耳,귀,이,口(입 구) / 目(눈 목) / 鼻(코 비),
NON,鼻,코,비,目(눈 목) / 耳(귀 이),
NON,齒,이,치,,
NON,首,머리,수,頭(머리 두),
NON,毛,털,모,,
NON,肉,고기,육,,
NON,血,피,혈,,
NON,位,자리,위,席(자리 석) / 所(바 소) / 處(곳 처),
NON,處,곳,처,位(자리 위) / 場(마당 장) / 所(바 소),
NON,戶,지게,호,門(문 문),
NON,宿,잘,숙,住(살 주),
NON,基,터,기,本(근본 본) / 根(뿌리 근),
NON,田,밭,전,土(흙 토) / 地(땅 지) / 野(들 야),
NON,師,스승,사,敎(가르칠 교) / 訓(가르칠 훈),
NON,課,공부할,과,學(배울 학) / 習(익힐 습),
NON,筆,붓,필,紙(종이 지),
NON,畵,그림,화,圖(그림 도) / 畫(그림 화(획),
NON,思,생각,사,念(생각 념) / 考(상고할 고),
NON,考,상고할,고,念(생각 념) / 思(생각 사),
NON,念,생각,념,思(생각 사) / 考(상고할 고),
NON,飯,밥,반,米(쌀 미) / 食(밥 / 食(밥/먹을 식) / 먹을 식),
NON,茶,차,다,飮(마실 음),
NON,魚,물고기,어,,
NON,牛,소,우,,
NON,鳥,새,조,,
NON,具,갖출,구,,
NON,步,걸음,보,行(다닐 행(항) / 走(달릴 주),
NON,走,달릴,주,步(걸음 보) / 行(다닐 행(항),
NON,去,갈,거,,來(올 래)
NON,坐,앉을,좌,,立(설 립)
NON,着,붙을,착,在(있을 재),放(놓을 방)
NON,造,지을,조,作(지을 작),
NON,授,줄,수,,受(받을 수)
NON,受,받을,수,,授(줄 수)
NON,取,가질,취,,放(놓을 방)
NON,閉,닫을,폐,,開(열 개)
NON,存,있을,존,住(살 주) / 在(있을 재) / 有(있을 유) / 活(살 활) / 生(날 생),死(죽을 사) / 無(없을 무)
NON,無,없을,무,空(빌 공),在(있을 재) / 存(있을 존) / 有(있을 유)
NON,終,마칠,종,,始(비로소 시) / 發(필 발)
NON,輕,가벼울,경,,重(무거울 중)
NON,强,강할,강,勇(날랠 용) / 強(강할 강),弱(약할 약)
NON,甘,달,감,,苦(쓸 고)
NON,寒,찰,한,,暑(더울 서)
NON,情,뜻,정,心(마음 심) / 意(뜻 의) / 感(느낄 감),
NON,喜,기쁠,희,幸(다행 행) / 樂(즐길 락)),悲(슬플 비)
NON,悲,슬플,비,,喜(기쁠 희) / 樂(즐길 락))
NON,君,임금,군,主(임금 / 主(임금/주인 주) / 王(임금 왕) / 주인 주),民(백성 민) / 臣(신하 신)
NON,臣,신하,신,,君(임금 군) / 王(임금 왕)
NON,政,정사,정,治(다스릴 치) / 理(다스릴 리),
NON,治,다스릴,치,政(정사 정) / 理(다스릴 리),
NON,兵,병사,병,戰(싸움 전) / 軍(군대 군),
NON,法,법,법,典(법 전) / 度(법도 도) / 式(법 식) / 律(법률 률),
NON,義,옳을,의,信(믿을 신) / 禮(예도 례),
NON,商,장사,상,業(업 업),
NON,役,부릴,역,使(하여금 / 使(하여금/부릴 사) / 勞(일할 로) / 부릴 사),
NON,勞,일할,로,事(일 사) / 工(장인 공) / 役(부릴 역) / 業(업 업),
NON,變,변할,변,化(될 화),
NON,化,될,화,變(변할 변),
NON,史,역사,사,傳(전할 전) / 記(기록할 기) / 錄(기록할 록),
NON,傳,전할,전,史(역사 사) / 記(기록할 기) / 錄(기록할 록),
NON,錄,기록할,록,傳(전할 전) / 史(역사 사) / 書(글 서) / 記(기록할 기),
NON,典,법/책,전,書(글 서) / 法(법 법),
